ProductId	VendorId	UPC	Product Description	CasePack	Size	ShipCaseQty	WhseCase Cost	OffInvoice	BillBack	CRV	TransPk	TransCfg	TransUnitCt	TransConfigWt	TransCaseCost	TransCRV	RetailMult	Retail Unit	TransCaseQty	IsActive
2336	31	3000065040	Pearl Milling Pamcake Mix	12	32 OZ	1	42.84	13.80	0.00	0.00	1	Case	12	26.7	29.04	0.00	1	2.48	1	0
2475	31	3000065620	Perel Butter Rich Lite Syurp	12	24 OZ	1	42.48	16.32	0.00	0.00	1	Case	12	27.7	26.16	0.00	1	2.48	1	0
868	31	3000005620	A/Jemima Syrup Butter Lite	12	24 OZ	1	38.76	0.00	15.80	0.00	1	Case	12	24	22.17	0.00	1	2.48	1	0
641	31	0000005800	A/Jemima Pancake Syrup Lite	12	24 OZ	1	38.76	0.00	15.80	0.00	1	Case	12	14	22.17	0.00	1	2.48	1	0
642	31	0000005970	A/Jemima Pancake Syrup Regular	12	24 OZ	1	38.76	0.00	15.80	0.00	1	2 Layer	288	336	532.08	0.00	1	2.48	24	0
752	31	0000005940	A/Jemima Syrup Butter Rich	12	24 OZ	1	38.76	0.00	15.80	0.00	1	Case	12	20	22.17	0.00	1	2.48	1	0
649	31	0000032203	Gatorade Pony Pallet 5 Flavor	480	32 OZ	1	595.60	0.00	206.80	48.00	1	Pallet	480	1160	419.42	48.00	1	0.98	1	0
655	31	0000032221	Gatorade Power Plus 2009 Plt	840	32 OZ	1	1105.30	0.00	330.00	84.00	1	Pallet	840	2030	735.00	84.00	1	0.98	1	0
704	31	5200050632	Propel Lemon	4	6 PK	1	13.00	0.00	4.16	1.20	1	Case	4	20	8.48	1.20	1	2.98	1	0
705	31	5200050633	Propel Berry	4	6 PK	1	13.00	0.00	4.16	1.20	1	Case	4	20	8.48	1.20	1	2.98	1	0
706	31	5200050640	Propel Kiwi Strawberry	4	6 PK	1	13.00	0.00	4.16	1.20	1	Case	4	20	8.48	1.20	1	2.98	1	0
713	31	0000020920	Gatorade 8 Pack Mixed Plt	108	20 OZ	1	630.72	0.00	179.40	43.20	1	Pallet	108	1200	438.71	43.20	1	4.98	1	0
736	31	5200000254	Propel Blueberry Pomegranate	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
737	31	5200000343	Propel Black Cherry	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
738	31	5200000344	Propel Peach Mango	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
739	31	5200000299	Propel Lemon	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
740	31	5200000338	Propel Berry	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
741	31	5200000339	Propel Kiwi Stwarberry	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
742	31	5200000342	Propel Grape	12	710 ML	1	10.00	0.00	5.30	1.20	1	Case	12	20	4.50	1.20	2	0.50	1	0
750	31	0000000000	Propel Mixed Pallet	12	24 OZ	1	4.50	0.00	0.00	1.20	1	Case	900	1500	337.50	90.00	2	0.50	75	0
523	31	5200032234	Gatorade 2008-7 Flavor Plt	840	32 OZ	1	947.10	0.00	283.00	84.00	1	Pallet	840	1700	659.56	84.00	1	0.98	1	0
452	31	0000032742	Gatorade 3 Flavor Pallet	840	32 OZ	1	947.10	0.00	280.00	84.00	1	Pallet	840	1750	667.10	84.00	1	0.98	1	0
76	31	0000032202	Gatorade 3 Flavor Plt	840	32 OZ	1	1105.30	0.00	330.00	84.00	1	Pallet	840	2030	734.00	84.00	1	0.98	1	0
77	31	0000032226	Gatorade 7 Flavor Plt	840	32 OZ	1	947.10	0.00	283.50	84.00	1	Pallet	840	1700	667.10	84.00	1	0.98	1	0
905	31	5200004913	Gatorade Mixed Pallet	162	8/20 OZ	1	1003.32	0.00	313.20	64.80	1	Pallet	162	1800	670.12	64.80	1	4.98	1	0
1147	31	0000004382	Gatorade Fl From Home	660	32 OZ	1	868.45	0.00	301.40	66.00	1	Pallet	660	1500	412.53	66.00	1	0.88	1	0
864	31	0000020807	Gatorade Orange	3	8/20 OZ	1	18.58	0.00	5.81	1.20	1	Case	3	30	12.77	1.20	1	4.98	1	0
830	31	5200020021	Gatorade G2 Galcier Freeze	3	8/20 OZ	1	17.52	0.00	5.00	1.20	1	Case	3	20	12.17	1.20	1	4.98	1	0
831	31	5200020811	Gatorade Xfactor Punch Bry	3	8/20 OZ	1	18.58	0.00	5.81	1.20	1	Case	3	20	12.77	1.20	1	4.98	1	0
832	31	5200020870	Gatorade G2 Fruit Punch	3	8/20 OZ	1	17.52	0.00	5.00	1.20	1	Case	3	20	12.17	1.20	1	4.98	1	0
804	31	5200020805	Gatorade Lemon Lime	3	8/20 OZ	1	22.98	0.00	5.95	1.20	1	Case	3	30	17.03	1.20	1	6.98	1	0
805	31	5200020806	Gatorade Fruit Punch	3	8/20 OZ	1	22.98	0.00	5.95	1.20	1	Case	3	30	17.03	1.20	1	6.98	1	0
806	31	5200020807	Gatorade Orange	3	8/20 OZ	1	22.98	0.00	5.95	1.20	1	Case	3	30	17.03	1.20	1	6.98	1	0
807	31	5200020809	Gatorade Riptied Frost	3	8/20 OZ	1	22.98	0.00	5.94	1.20	1	Case	3	30	17.04	1.20	1	4.98	1	0
